trip_id,start_station_id,end_station_id,bike_number,start_station_latitude
20171012172131583,222,222,583,37.7927143
20170815235745207,201,222,207,37.7976728
201803151358172782,201,222,2782,37.7976728
20171030104606786,201,222,786,37.7976728
201712011430173183,201,222,3183,37.7976728
20171003220943658,200,222,658,37.8002135669698
2017120212574941,195,222,41,37.81231409135146
20170801131250158,195,222,158,37.81231409135146
20171221074934317,178,222,317,37.8193814
20170930015750551,7,222,551,37.8045623549303
201804251836172349,7,222,2349,37.8045623549303
201801101410073582,7,222,3582,37.8045623549303
201801311626341480,7,222,1480,37.8045623549303
201712081616161423,7,222,1423,37.8045623549303
201803171654011299,7,222,1299,37.8045623549303
20170731125853718,7,222,718,37.8045623549303
20180322182735130,7,222,130,37.8045623549303
20180213201132508,7,222,508,37.8045623549303
201804031723523719,7,222,3719,37.8045623549303
20180107004303543,7,222,543,37.8045623549303
201801311931342959,162,222,2959,37.8005161
20171003125700616,163,222,616,37.7973195
201711231442331141,163,222,1141,37.7973195
201708271056582122,163,222,2122,37.7973195
20180315214451162,163,222,162,37.7973195
201710131951543012,163,222,3012,37.7973195
201803101903083543,163,222,3543,37.7973195
20180105083732200,163,222,200,37.7973195
201709261249351059,163,222,1059,37.7973195
201801181805231158,186,222,1158,37.8013189
201709030141551100,186,222,1100,37.8013189
20180427001714777,186,222,777,37.8013189
201710071647331302,186,222,1302,37.8013189
20170803193416678,232,222,678,37.8061628
201708262029222427,46,222,2427,37.79013985185364
20170810133039674,183,222,674,37.8087021
20180306094128197,222,201,197,37.7927143
20180402122337666,222,201,666,37.7927143
201801250812091787,222,201,1787,37.7927143
201708141919291312,201,201,1312,37.7976728
20170713193058408,201,201,408,37.7976728
201711101258162519,201,201,2519,37.7976728
2017103016314536,201,201,36,37.7976728
20170714194045368,201,201,368,37.7976728
20180430122220146,201,201,146,37.7976728
20180202083017505,233,201,505,37.7958125
201708230907512018,233,201,2018,37.7958125
201804200946571283,233,201,1283,37.7958125
201804090944411271,233,201,1271,37.7958125
201804232035203408,233,201,3408,37.7958125
20170823215207909,233,201,909,37.7958125
201802081948531545,233,201,1545,37.7958125
201712050731133134,233,201,3134,37.7958125
20170911221800509,233,201,509,37.7958125
201802120809281135,233,201,1135,37.7958125
201711091117352130,233,201,2130,37.7958125
201802010959483440,233,201,3440,37.7958125
201711030626541305,233,201,1305,37.7958125
201709270857181322,233,201,1322,37.7958125
20170810092825677,233,201,677,37.7958125
201707240831101227,233,201,1227,37.7958125
201712291127151413,233,201,1413,37.7958125
201709180756542359,233,201,2359,37.7958125
201801170942573199,233,201,3199,37.7958125
201804230845233468,233,201,3468,37.7958125
201801220835332467,233,201,2467,37.7958125
201802011255462233,233,201,2233,37.7958125
201803300937571160,233,201,1160,37.7958125
201804190848193674,233,201,3674,37.7958125
201712200952212122,233,201,2122,37.7958125
201802020815311585,233,201,1585,37.7958125
201712241018101108,233,201,1108,37.7958125
20170914082429791,233,201,791,37.7958125
201804190758451174,233,201,1174,37.7958125
201804170853272839,233,201,2839,37.7958125
201707191803291316,233,201,1316,37.7958125
201802140838141963,233,201,1963,37.7958125
201803131742063405,233,201,3405,37.7958125
20180131095609849,233,201,849,37.7958125
201803120943041125,233,201,1125,37.7958125
201803090822573436,233,201,3436,37.7958125
20171204081525537,233,201,537,37.7958125
201710200851111106,233,201,1106,37.7958125
201708220808071007,233,201,1007,37.7958125
2018021019241018,233,201,18,37.7958125
20170815085528825,233,201,825,37.7958125
201802280816291549,233,201,1549,37.7958125
201711300920321139,233,201,1139,37.7958125
201711300656442335,233,201,2335,37.7958125
201801201542352169,233,201,2169,37.7958125
201710030908221302,233,201,1302,37.7958125
201802060804361324,221,201,1324,37.7943532
201708241306201554,221,201,1554,37.7943532
201709141302551988,221,201,1988,37.7943532
201712121130221020,221,201,1020,37.7943532
201711131107012637,221,201,2637,37.7943532
201710031247201307,221,201,1307,37.7943532
201710261422272161,221,201,2161,37.7943532
20171028113157535,230,201,535,37.8107432
201708310747291545,230,201,1545,37.8107432
201708240828411197,230,201,1197,37.8107432
201710021430082876,230,201,2876,37.8107432
201803251024472573,182,201,2573,37.8090126
201803071204482795,224,201,2795,37.7851566
201802210704081533,200,201,1533,37.8002135669698
201711172020562040,200,201,2040,37.8002135669698
201709081950072426,200,201,2426,37.8002135669698
201711090707381551,200,201,1551,37.8002135669698
20171027105005865,200,201,865,37.8002135669698
201802090914433360,200,201,3360,37.8002135669698
201707250751351280,200,201,1280,37.8002135669698
20170925084754380,200,201,380,37.8002135669698
201804020815062492,200,201,2492,37.8002135669698
201711161950581666,200,201,1666,37.8002135669698
201804030828192383,200,201,2383,37.8002135669698
201711030826161004,200,201,1004,37.8002135669698
201804190710063476,200,201,3476,37.8002135669698
20170913095302295,200,201,295,37.8002135669698
20171214090916958,200,201,958,37.8002135669698
201709221530012873,200,201,2873,37.8002135669698
201801100706511579,200,201,1579,37.8002135669698
20170829075531614,200,201,614,37.8002135669698
20170727080020654,200,201,654,37.8002135669698
201801310829363166,200,201,3166,37.8002135669698
201802010904013256,200,201,3256,37.8002135669698
201801120913212073,200,201,2073,37.8002135669698
201712261711262921,200,201,2921,37.8002135669698
201711130753031242,200,201,1242,37.8002135669698
20180329090345294,200,201,294,37.8002135669698
201804240918412518,200,201,2518,37.8002135669698
201803181441063481,200,201,3481,37.8002135669698
201803020838371770,200,201,1770,37.8002135669698
201711171949592674,200,201,2674,37.8002135669698
201801290810032750,200,201,2750,37.8002135669698
201712210836341212,200,201,1212,37.8002135669698
20180219083056476,200,201,476,37.8002135669698
201709260648521508,200,201,1508,37.8002135669698
20170731062145312,200,201,312,37.8002135669698
201710061921552236,200,201,2236,37.8002135669698
201802020956311829,200,201,1829,37.8002135669698
20180316090841402,200,201,402,37.8002135669698
201710111553493132,200,201,3132,37.8002135669698
20170817092354328,200,201,328,37.8002135669698
201711200629261196,200,201,1196,37.8002135669698
20171002084149376,200,201,376,37.8002135669698
20180227090150841,200,201,841,37.8002135669698
201712120842232951,200,201,2951,37.8002135669698
20170822080651539,200,201,539,37.8002135669698
20170802072708461,200,201,461,37.8002135669698
201710081045291015,200,201,1015,37.8002135669698
201801240917171131,200,201,1131,37.8002135669698
201709141650021229,200,201,1229,37.8002135669698
201708281812001577,200,201,1577,37.8002135669698
201712010838152840,200,201,2840,37.8002135669698
201803280809173552,200,201,3552,37.8002135669698
201712191132113086,200,201,3086,37.8002135669698
201709140727321483,200,201,1483,37.8002135669698
201802220811473490,200,201,3490,37.8002135669698
201708210800511100,200,201,1100,37.8002135669698
20180405082851951,200,201,951,37.8002135669698
201708010808561336,200,201,1336,37.8002135669698
201804021755211510,200,201,1510,37.8002135669698
201802101403403292,200,201,3292,37.8002135669698
20171213145308408,200,201,408,37.8002135669698
201709080937451014,200,201,1014,37.8002135669698
201709070835161135,200,201,1135,37.8002135669698
20170831122409427,200,201,427,37.8002135669698
201712110830453222,200,201,3222,37.8002135669698
201709150821042833,200,201,2833,37.8002135669698
201710031013353179,200,201,3179,37.8002135669698
20170828085249466,200,201,466,37.8002135669698
201802230949432060,200,201,2060,37.8002135669698
201709131749582674,213,201,2674,37.8238474
201802131129331415,195,201,1415,37.81231409135146
20170825192039640,195,201,640,37.81231409135146
201711131039373184,178,201,3184,37.8193814
20170921171227532,211,201,532,37.8277573
201710030904111984,211,201,1984,37.8277573
201710161901351958,211,201,1958,37.8277573
201711010859152447,211,201,2447,37.8277573
201801291219073627,245,201,3627,37.8703477
201707301831521007,197,201,1007,37.8088479
201712031653532130,197,201,2130,37.8088479
2017081317410414,197,201,14,37.8088479
20180219115635204,197,201,204,37.8088479
20180414172909935,197,201,935,37.8088479
201711181409152111,197,201,2111,37.8088479
20171118093009677,197,201,677,37.8088479
20180303120432552,197,201,552,37.8088479
201707310924562339,197,201,2339,37.8088479
201710121248361474,197,201,1474,37.8088479
201804301158501296,197,201,1296,37.8088479
2017081809152333,197,201,33,37.8088479
201710081645361423,7,201,1423,37.8045623549303
20180430121045535,7,201,535,37.8045623549303
20180221101515108,7,201,108,37.8045623549303
20170911215337505,7,201,505,37.8045623549303
201710031149441264,7,201,1264,37.8045623549303
201710081542431059,7,201,1059,37.8045623549303
201710041759051423,184,201,1423,37.8037651
